Geneid	count
Mtap7	350
4930405J17Rik	0
Gm6251	5
Bclaf1	4101
Fam54a	24
Pde7b	304
Ahi1	4506
Gm10826	1
Gm20149	2
Myb	82
Hbs1l	1679
4930455C13Rik	8
Aldh8a1	1
1700021A07Rik	0
1700020N01Rik	2
Gm5420	1
Sgk1	1096
4930444G20Rik	0
E030030I06Rik	1
Raet1e	1
H60b	7
C920009B18Rik	3
Raet1d	6
Gm10825	1
Slc2a12	142
Tbpl1	1551
Gm20212	0
Gm10824	0
Tcf21	3
Eya4	78
Rps12	3121
Snora33	2
Snord100	2
1110021L09Rik	427
Vnn3	2
Vnn1	10
Taar1	0
Taar2	1
Taar3	1
Taar4	1
Taar5	0
Taar6	0
Taar7a	0
Taar7b	0
Taar7d	0
Taar7e	0
Taar7f	0
Taar8a	0
Taar8b	0
Taar8c	0
Taar9	0
Stx7	4233
LOC100862153	0
Moxd1	131
Ctgf	579
Enpp1	78
Enpp3	42
Med23	933
Arg1	4
Akap7	3071
Epb4.1l2	1518
2010003K15Rik	0
4930401C15Rik	0
LOC215866	0
Tmem200a	686
Gm9767	7
Samd3	8
L3mbtl3	1764
Gm8709	0
Arhgap18	335
Lama2	396
Gm10145	2
Ptprk	3524
Themis	7
Gm20262	0
4930519F09Rik	0
